Type,Title,Abstract,Authors,Keywords,DOI,Publication Date,Pages
inproceedings,Agile Global Software Development: A Systematic Literature Review,"Global Software Development (GSD) continues to grow substantially and it is fast becoming the norm and fundamentally different from local Software Engineering development. Withal, agile software development (ASD) has become an appealing choice for companies attempting to improve their performance although its methods were originally designed for small and individual teams. The current literature does not provide a cohesive picture of how the agile practices are taken into account in the distributed nature of software development: how to do it, who, and what works in practice. This study aims to highlight how ASD practices are applied in the context of GSD in order to develop a set of techniques that can be relevant in both research and practice. To answer the research question, ""how are agile practices adopted in agile global software development teams?"" We conducted a systematic literature review of the ASD and GSD literature. A synthesis of solutions found in seventy-six studies provided 48 distinct practices that organizations can implement, including ""collaboration among teams"", ""agile architecture"", ""coaching"", ""system demo"" and ""test automation"". These implementable practices go some way towards providing solutions to manage GSD teams, and thus to embrace agility.","Camara, Rafael and Alves, Annelyelthon and Monte, Iury and Marinho, Marcelo","Agile Software Development, Software engineering, Global Software Development, Systematic Literature Review",10.1145/3422392.3422411,2020,10
inproceedings,Machine Learning-Based Automated Grading and Feedback Tools for Programming: A Meta-Analysis,"Research into automated grading has increased as Computer Science courses grow. Dynamic and static approaches are typically used to implement these graders, the most common implementation being unit testing to grade correctness. This paper expands upon an ongoing systematic literature review to provide an in-depth analysis of how machine learning (ML) has been used to grade and give feedback on programming assignments. We conducted a backward snowball search using the ML papers from an ongoing systematic review and selected 27 papers that met our inclusion criteria. After selecting our papers, we analysed the skills graded, the preprocessing steps, the ML implementation, and the models' evaluations.We find that most the models are implemented using neural network-based approaches, with most implementing some form of recurrent neural network (RNN), including Long Short-Term Memory, and encoder/decoder with attention mechanisms. Some graders implement traditional ML approaches, typically focused on clustering. Most ML-based automated grading, not many use ML to evaluate maintainability, readability, and documentation, but focus on grading correctness, a problem that dynamic and static analysis techniques, such as unit testing, rule-based program repair, and comparison to models or approved solutions, have mostly resolved. However, some ML-based tools, including those for assessing graphical output, have evaluated the correctness of assignments that conventional implementations cannot.","Messer, Marcus and Brown, Neil C. C. and K\""{o}lling, Michael and Shi, Miaojing","computer science education, machine learning, meta-analysis, automated grading",10.1145/3587102.3588822,2023,7
article,A Human-Centered Systematic Literature Review of Cyberbullying Detection Algorithms,"Cyberbullying is a growing problem across social media platforms, inflicting short and long-lasting effects on victims. To mitigate this problem, research has looked into building automated systems, powered by machine learning, to detect cyberbullying incidents, or the involved actors like victims and perpetrators. In the past, systematic reviews have examined the approaches within this growing body of work, but with a focus on the computational aspects of the technical innovation, feature engineering, or performance optimization, without centering around the roles, beliefs, desires, or expectations of humans. In this paper, we present a human-centered systematic literature review of the past 10 years of research on automated cyberbullying detection. We analyzed 56 papers based on a three-prong human-centeredness algorithm design framework - spanning theoretical, participatory, and speculative design. We found that the past literature fell short of incorporating human-centeredness across multiple aspects, ranging from defining cyberbullying, establishing the ground truth in data annotation, evaluating the performance of the detection models, to speculating the usage and users of the models, including potential harms and negative consequences. Given the sensitivities of the cyberbullying experience and the deep ramifications cyberbullying incidents bear on the involved actors, we discuss takeaways on how incorporating human-centeredness in future research can aid with developing detection systems that are more practical, useful, and tuned to the diverse needs and contexts of the stakeholders.","Kim, Seunghyun and Razi, Afsaneh and Stringhini, Gianluca and Wisniewski, Pamela J. and De Choudhury, Munmun","human-centered machine learning, social media, literature review, cyberbullying detection",10.1145/3476066,2021,34
inproceedings,Identifying and Measuring Technical Debt in Software Requirements: A Supporting Guide,"Context: Identification and measurement are the first steps in managing a Technical Debt (TD). They are essential to know the type of TD and estimate its impact on the software. Problem: However, in requirements engineering, these steps are little explored in academic research since the measurement is considered one of the most challenging phases. Solution: This work aims to develop a support guide to help software development professionals identify and measure the TD of requirements in their projects. IS Theory: This work was conceived under the aegis of the Customer Focus Theory. The requirements of TD management directly impact the quality of the product that will be delivered to the customer. Method: Initially, a systematic literature review was conducted, and a survey was applied with software development professionals allocated to different organizations. Additionally, the guide was developed and evaluated by four specialists through a focus group session. Summary of Results: Among the results, it became possible to present the existing strategies that help identify and measure the DT of requirements, in addition to tools and metrics that are used to automate the management process. Contributions and Impact in the IS area: After analyzing the results, it can be concluded that the guide is a resource that helps, especially professionals with a low level of knowledge in the area, obtain more information about TD. In addition, one of the contributions is investigating an interdisciplinary area, as TD involves social, technological, and organizational aspects.","Candido De Melo, Ana Carolina and Accioly, Nath\'{a}Lia and Fagundes, Roberta and Santos, Wylliams","Identification, Support Guide, Technical Debt, Measurement.",10.1145/3592813.3592925,2023,8
article,Seeing the Whole Elephant: Systematically Understanding and Uncovering Evaluation Biases in Automated Program Repair,"Evaluation is the foundation of automated program repair (APR), as it provides empirical evidence on strengths and weaknesses of APR techniques. However, the reliability of such evaluation is often threatened by various introduced biases. Consequently, bias exploration, which uncovers biases in the APR evaluation, has become a pivotal activity and performed since the early years when pioneer APR techniques were proposed. Unfortunately, there is still no methodology to support a systematic comprehension and discovery of evaluation biases in APR, which impedes the mitigation of such biases and threatens the evaluation of APR techniques.In this work, we propose to systematically understand existing evaluation biases by rigorously conducting the first systematic literature review on existing known biases and systematically uncover new biases by building a taxonomy that categorizes evaluation biases. As a result, we identify 17 investigated biases and uncover a new bias in the usage of patch validation strategies. To validate this new bias, we devise and implement an executable framework APRConfig, based on which we evaluate three typical patch validation strategies with four representative heuristic-based and constraint-based APR techniques on three bug datasets. Overall, this article distills 13 findings for bias understanding, discovery, and validation. The systematic exploration we performed and the open source executable framework we proposed in this article provide new insights as well as an infrastructure for future exploration and mitigation of biases in APR evaluation.","Yang, Deheng and Lei, Yan and Mao, Xiaoguang and Qi, Yuhua and Yi, Xin","empirical evaluation, Automated program repair, bias study",10.1145/3561382,2023,37
inproceedings,Review-Based Comparison of Design Pattern Detection Tools,"Context: Design patterns are reusable solutions for recurring problems of software design. Although useful for software analysis, detecting design patterns is often challenging especially in large and complex software systems. In this context, several tools have been proposed for automating this process. Objective: Past attempts to summarize existing detection tools contain gaps in their scope, such as the lack of a comparison of the output provided by the tools in terms of precision and agreement. We address some of these gaps through a literature review and a comparison of design pattern detection tools. Our goal is to assist practitioners and researchers not only looking for useful tools, but also exploring opportunities for their improvements. Method: We present a systematic literature review of design pattern detection tools based on strict guidelines. We compare the performance of four tools in detecting six design patterns based on precision, recall, F-measure, and agreement. Results: From the 42 tools found, only ten are available for download. Altogether, the tools detect all 23 design patterns summarized by the Gang of Four's book. The comparison results suggest that some tools are more suitable for specific design patterns, e.g., the FINDER tool for Composite, Decorator and Visitor. We also observed a low agreement among tools. Conclusions: Despite the high number of tools published, design pattern detection tools are mostly ineffective and unavailable for use. Particularly, practitioners might struggle to find a tool that matches their expectations. The available tools provide inaccurate yet complementary detection results; thus, solutions for either improving or combining tools are needed. Researchers are encouraged to propose novel tools capable of filling this literature gap.","Moreira, Rodrigo and Fernandes, Eduardo and Figueiredo, Eduardo","design pattern, systematic literature review, automated development tool, comparative study, software design",No data,2023,16
inproceedings,Automating Code-Related Tasks Through Transformers: The Impact of Pre-Training,"Transformers have gained popularity in the software engineering (SE) literature. These deep learning models are usually pre-trained through a self-supervised objective, meant to provide the model with basic knowledge about a language of interest (e.g., Java). A classic pre-training objective is the masked language model (MLM), in which a percentage of tokens from the input (e.g., a Java method) is masked, with the model in charge of predicting them. Once pre-trained, the model is then fine-tuned to support the specific downstream task of interest (e.g., code summarization). While there is evidence suggesting the boost in performance provided by pre-training, little is known about the impact of the specific pre-training objective(s) used. Indeed, MLM is just one of the possible pre-training objectives and recent work from the natural language processing field suggest that pre-training objectives tailored for the specific downstream task of interest may substantially boost the model's performance. For example, in the case of code summarization, a tailored pre-training objective could be the identification of an appropriate name for a given method, considering the method name to generate as an extreme summary. In this study, we focus on the impact of pre-training objectives on the performance of transformers when automating code-related tasks. We start with a systematic literature review aimed at identifying the pre-training objectives used in SE. Then, we pre-train 32 transformers using both (i) generic pre-training objectives usually adopted in SE; and (ii) pre-training objectives tailored to specific code-related tasks subject of our experimentation, namely bug-fixing, code summarization, and code completion. We also compare the pre-trained models with non pre-trained ones and show the advantage brought by pre-training in different scenarios, in which more or less fine-tuning data are available. Our results show that: (i) pre-training helps in boosting performance only if the amount of fine-tuning data available is small; (ii) the MLM objective is usually sufficient to maximize the prediction performance of the model, even when comparing it with pre-training objectives specialized for the downstream task at hand.","Tufano, Rosalia and Pascarella, Luca and Bavota, Gabriele","code recommenders, pre-training",10.1109/ICSE48619.2023.00203,2023,13
inproceedings,CrowdSLR: A Tool to Support the Use of Crowdsourcing in Systematic Literature Reviews,"Systematic Literature Reviews (SLR) have been used by Software Engineering (SE) community to produce reliable scientific evidence. An SLR process can be exhaustive and time-consuming, therefore, many approaches have been proposed to reduce time and efforts during the SLR conduction process. Although the SLR process is amenable to automation, nowadays full automation is not yet possible. An alternative to reduce time and efforts in SLR conduction is the use of crowdsourcing. However, there is no crowdsourcing tool to support a crowd-based SLR process. In this context, we present CrowdSLR, a tool to support the application of crowdsourcing in SLR during the selection of primary studies. Furthermore, we present its main features, potential users, and the architecture that was implemented to allow researchers to adopt this tool. The results of the CrowdSLR application indicate that the tool is able to provide the use crowdsourcing during the SLR selection process. The results that the proposed tool, indeed, show a significant improvement in the crowdsourcing approach in terms of time and effort to facilitate the SLR selection activity. Demo Video: https://youtu.be/UoQTC-R-Mv0","Santos, Vinicius and Iwazaki, Anderson and Souza, \'{E}rica and Felizardo, Katia and Vijaykumar, Nandamudi","Tool, Crowdsourcing, SLR, Systematic Literature Review",10.1145/3474624.3476008,2021,6
inproceedings,A Study on Management Challenges and Practices in DevOps,"DevOps is a widely adopted practice to consistently develop and upgrade a system that is already in use. Between software development and operations, DevOps presupposes cross-functional cooperation and automation. The adoption and execution of DevOps in businesses are complicated since it necessitates adjustments to organizational, technical, and cultural factors. The implementation of DevOps in practice is thoroughly described in this systemic literature review (SLR). The study focuses on the identification of the manager's challenges in the DevOps environment and also intends to find the mitigation practices. In this article, SLR has been performed to identify the manager's challenges and the state-of-the-art mitigation strategies. This study identifies twenty challenges from the manager's perspective and the applied mitigation strategies to overcome the challenges. The findings of the current work would be beneficial in comprehending the DevOps idea, methods, and perceived impacts, particularly among managers while adopting DevOps in the organization.","Faaiz, Syed Muhammad and Khan, Saif-Ur-Rehman and Hussain, Shahid and Wang, Wen-Li and Ibrahim, Naseem","DevOps manager, Taxonomy, DevOps, management challenges, Challenging Factors, Mitigation strategy",10.1145/3593434.3594240,2023,8
inproceedings,UAV Remote Sensing applications and current trends in crop monitoring and diagnostics: A Systematic Literature Review,"Crop monitoring and diagnosis are crucial for efficient agricultural production, and unmanned aerial vehicle (UAV) Remote Sensing can assist in achieving this goal. This article offers an automated Systematic Literature Review (SLR) of UAV Remote Sensing for crop monitoring and diagnosis. This review analyzes the primary scientific applications and trends in this area using Deep Learning techniques to automatically select relevant articles and validate them through full reading. The SLR collected over 800 papers, of which 64 met the selection process. The articles selected by Deep Learning classifiers were successfully cataloged with high accuracy in pre-selecting articles for review. F1 scores of 93% were achieved in tests with unpublished examples for the classifier model. The review of the 64 primary studies reported a peak in UAV Remote Sensing applications in 2020, attributed to the increasing diffusion of precision farming practices with technological equipment. The UAV Remote Sensing application objectives included crop monitoring, pest and disease detection, yield prediction, and plant nutrition. Artificial Intelligence, particularly Machine Learning and Deep Learning, are widely used for UAV Remote Sensing analysis. The NDVI is the most applied vegetation index for crop condition assessment and monitoring. The proposed solution for automating the literature selection process for precision agriculture-related scientific articles can be used in other areas that require extensive literature review.","Zambrano, Pabelco and Calderon, Fernanda and Villegas, Héctor and Paillacho, Jonathan and Pazmiño, Doménica and Realpe, Miguel",,10.1109/ICPRS58416.2023.10179038,2023,9
inproceedings,Continued Supporting a Systematic Literature Review by Applying Text Mining Methods,"In the present paper, a framework for the continued supporting a systematic literature review (SLR) is proposed, which includes the application of text mining methods in order to automate the classification of scientific publications and the more in-depth analysis of their content. For this purpose, a dataset is created from the titles, abstracts and keywords of papers, included in a systematic literature review on the application of semantic technologies in bibliographic databases. Data analytics methods are applied - frequency analysis of words and word combinations; linear regression for trend exploration; text classification, where the categories are the applied semantic technologies or the researched problems in accordance with a pre-defined classification framework. The vector space model enriched with PMI (pointwise mutual information) measure is used for the classification. An assessment of the text classification performance in terms of various measures is made and the obtained results are summarized.","Georgieva-Trifonova, Tsvetanka",,10.1109/INFOTEH53737.2022.9751318,2022,5
inproceedings,A Mobile Application Prototype of Materials Procurement for the Bahraini Construction Industry,"The success of procurement process in construction projects is based on the total procured material's cost and time of delivery. However, in Bahrain, the clients face a time and cost loss due to the construction sector's dependence on paper-based procurement mediums, fragmentation of the building process between clients, contractors and suppliers, and control of contractors in providing materials. This paper is aimed to demonstrate a development of a mobile application prototype that is expected to act as an automated procurement medium, act as a central medium of communication, and provide a direct link between clients and suppliers. This is believed to enhance the excessive cost and time of procured construction materials. Methodologically, a waterfall System development life cycle (SDLC) methodology of two phases and seven processes was employed to develop the mobile application “SARAY”, while systematic literature review (SLR) and content analysis in addition to two questionnaire techniques were all employed to identify the problems facing the procurement process, and collect user requirements along with a third questionnaire was employed to evaluate the application's usability based on Nielsen and mobile heuristics. Empirically, research findings revealed the existence of the problem, identified the reasons and requirements underpinning, and informed the need for a dynamic mobile application prototype supplemented by 82.7% of respondents who confirmed the time and cost loss of regular procurement and 59.7% and 92% willingness of development of such a mobile application for individual and company levels. In terms of the development, eight user and system functional requirements were collected, analyzed, & documented, including, register supplier, register client, manage client and supplier records, create and manage supplier store, select material, place an order, make Payment, and manage order. User interfaces & database records were designed, implemented, installed, tested, and evaluated, demonstrating 86% of usability achievement.","Alshuwaikh, A. M. and AlShabani, J. and Tooq, K. and Adwan, E. J. and Almalki, Y.",,10.1049/icp.2021.0937,2020,7
inproceedings,Algorithms for the Development of Adaptive Web Interfaces: A Systematic Literature Review,"The User Interface (UI) is a fundamental part of web interfaces, being considered a fundamental aspect of user satisfaction when using a web application. The UI that offers a good User Experience (UX) is the one that makes the interaction as simple and efficient as possible for the user to achieve the previously desired goals. In this way, web interfaces that have adaptive interfaces tend to offer a better UX, as they seek to adapt to the needs and desires of users. Therefore, this paper carries out a Systematic Literature Review (SLR) to identify the most used algorithms for the development of Adaptive Web Interfaces (AWI). The results indicate that the use of Machine Learning (ML) techniques, both to improve the performance of some task and to induce results, are the most popular ways to develop AWI. During the execution of SLR, 294 articles were analyzed using automated and manual searches, and inclusion, exclusion and quality criteria were applied to them. The research findings allow us to state that the topic is quite relevant to the academic community, with an average publication of 20 papers each year.1","Da Silva, Michael Rodrigues and Leite, Letícia Lopes and Garcia Costa Dos Santos, Gleice Louise",,10.1109/LACLO56648.2022.10013456,2022,8
inproceedings,Challenges in Automatic License Plate Recognition System Review,"Nowadays, processing vehicle license plate data has become a common and challenging subject of research in Image Processing and Artificial Intelligence. There are various methods proposed to address this problem due to the different shapes and sizes of license plates in different countries. License plate recognition can be used for different purposes, including parking lots, public and private entrances, traffic monitoring systems, cargo control in airports or harbours, and security issues such as finding stolen cars. The technology for license plate recognition is known by different names, including automatic number-plate recognition, automatic vehicle identification, car license plate recognition, and optical character recognition for cars. This technology converts image data from a camera into a character format that can be processed in a database for specific applications. Optical character recognition methods can identify the characters on license plates with great accuracy. The main objective of this paper is to provide a systematic literature review of the most common challenges and methods used for optical character recognition in automated number plate recognition systems, as well as their level of recognition accuracy.","Mustafa, Twana and Karabatak, Murat",,10.1109/ISDFS58141.2023.10131688,2023,6
inproceedings,Development of a Bahraini job seeking based web portal for UOB-IS graduates,"The discipline of information systems (IS) at the university of Bahrain (UOB) is characterized by its dynamicity and diversity in terms of the employment of diverse and up to date information technologies to achieve the strategic goals and dynamic operational objectives of organizations. However, the UOB-IS graduates and IS job employers alongside face difficulties in job seeking/provision. Seekers hardly find the best matching job offerings to their degree qualifications and skills, while employers hardly find the best candidates for the required job positions. This project is aimed at developing a Bahraini web-based job offering portal (J4IS) that acts as an automated recruiter for the job seekers and employers to facilitate an efficient and professional medium of communication and time and cost reduction tool to seek/provide suitable jobs for both sides. The theoretical framework is based on a systematic literature review (SLR) and web content analysis (CA) techniques. For the portal's application development, a six phased system development life cycle (SDLC) methodology was employed at which three questionnaires, two of which were conducted for collecting user and system requirements, while the third was for the web portal's evaluation. The research outcomes recognized the nature of the Bahraini workforce and the qualifications and skills of the UOB-IS graduates, the shortcomings of the commercial online job portals and the related reasons, and subsequently informed the user (seekers and employers) requirements of the developed “J4IS” which revealed a 94% of usability acceptance.","Adwan, Ehab Juma and Ali, Amina Ebarahim and Naser, Abrar A. Nabi and Alsaeed, Abrar Ali",,10.1109/3ICT53449.2021.9581794,2021,7
inproceedings,A Systematic Literature Review on Using Blockchain Technology in Public Administration,"Blockchain technology promises that it can transform completely modern society and its applications in the near future. Its main characteristics could change activities that are related to public politics and services, such as administrative processes, security, privacy, transparency, integrity, and confidentiality. The citizens concern about the potential risks, that are mainly related to data security, respectively documents falsification in a corrupted and non-transparent government. Not only in terms of administrative efficiency, but also in terms of boosting confidence, transparency, and accessibility of services, blockchain technology has the potential to play a major role in the digitalization of the public sector. Blockchain-based solutions facilitate citizen-government collaboration by safely streamlining and automating procedures while maintaining privacy and secrecy. To better understand the adoption of blockchain in public administration, we conducted a Systematic Literature Review (SLR) including 32 primary papers in this study. We intend to address one of the Informatics Society's major concerns: the data security of thousands of individuals and the inviolability of citizen databases. Furthermore, we identified gaps and future trends to support researchers in this domain.","Aliti, Admirim and Leka, Elva and Luma, Artan and Trpkovska, Marika Apostolova",,10.23919/MIPRO55190.2022.9803797,2022,6
article,Decomposition of Monolith Applications Into Microservices Architectures: A Systematic Review,"Microservices architecture has gained significant traction, in part owing to its potential to deliver scalable, robust, agile, and failure-resilient software products. Consequently, many companies that use large and complex software systems are actively looking for automated solutions to decompose their monolith applications into microservices. This paper rigorously examines 35 research papers selected from well-known databases using a Systematic Literature Review (SLR) protocol and snowballing method, extracting data to answer the research questions, and presents the following four contributions. First, the Monolith to Microservices Decomposition Framework (M2MDF) which identifies the major phases and key elements of decomposition. Second, a detailed analysis of existing decomposition approaches, tools and methods. Third, we identify the metrics and datasets used to evaluate and validate monolith to microservice decomposition processes. Fourth, we propose areas for future research. Overall, the findings suggest that monolith decomposition into microservices remains at an early stage and there is an absence of methods for combining static, dynamic, and evolutionary data. Insufficient tool support is also in evidence. Furthermore, standardised metrics, datasets, and baselines have yet to be established. These findings can assist practitioners seeking to understand the various dimensions of monolith decomposition and the community's current capabilities in that endeavour. The findings are also of value to researchers looking to identify areas to further extend research in the monolith decomposition space.","Abgaz, Yalemisew and McCarren, Andrew and Elger, Peter and Solan, David and Lapuz, Neil and Bivol, Marin and Jackson, Glenn and Yilmaz, Murat and Buckley, Jim and Clarke, Paul",,10.1109/TSE.2023.3287297,2023,30
inproceedings,A Systematic Review on Application of Deep Learning Techniques for Software Quality Predictive Modeling,"Software quality prediction is the process of evaluating the software developed for various metrics like defect prediction, bug localisation, effort estimation etc. To evaluate these metrics a myriad of techniques have been developed in the literature, from manual assessment to application of machine learning and statistical testing. These methodologies, however, had lower accuracy in determining SQPMs due to their inability to model the complex relationships in the training data. With the wide emergence of deep learning, not only has the accuracy of the pre-existing models enhanced, but it has also opened doors for new metrics that could be evaluated and automated. This study performs a systematic literature review of research papers published from January 1990 to January 2019 that used deep learning to evaluate software quality prediction metrics (SQPM). The paper identifies 20 primary studies and 7 categories of application of deep learning in SQPM. Models using deep learning techniques significantly outperform other traditional methodologies in almost all studies. The concept and external threats to the models are limited, however the time taken to train these models is large. The techniques, currently predominantly applied for defect prediction, have shown promising results in other diverse software engineering fields like code search and effort estimation by modeling the source code efficiently. There is, hence, scope for incorporating deep learning further with pragmatic use and diverse application. The need to find scalable solutions, however, still persists.","Malhotra, Ruchika and Gupta, Shreya and Singh, Tanishq",,10.1109/ComPE49325.2020.9200103,2020,6
inproceedings,EEG signal analysis using deep learning: A systematic literature review,"Objective: Electroencephalography (EEG) is very crucial for understanding the dynamic healthy and pathological complex processes in the brain. However, the manual analysis of the EEG signal is very complex, time-consuming, and depends on the expertise and experience of the users. Hence, nowadays research is conducted on automated EEG signal analysis using artificial intelligence and computer-aided technologies. This would allow fast and highly accurate results. The goal of this paper is to provide an extensive review of the EEG signal analysis using deep learning (DL).Methods: This systematic literature review of EEG processing using Deep Learning (DL) was achieved on Web of Science, PubMed, and Science Direct databases, resulting in 403 identified papers. All collected studies were analyzed based on main disorders studied, type of tasks performed, data source, stages of analysis, and DL architecture.Results: DL in EEG processing is promising in various research applications. It covered the common neurological disorders diagnosis such as epilepsy, movement disorder, depression, schizophrenia, autism, alcohol use, attention, memory, sleep, pain, etc. The main tasks covered by the included studies are detection and classification. The average range of data sources utilized by the included studies is 127 subjects with an EEG recording a total duration of 458 hours. In fact, we identified the use of a plethora of DL architecture for EEG analysis. 57% of papers used Convolutional Neural Networks (CNNs), whereas Recurrent Neural Networks (RNNs) were the architecture choice of about 12% of papers. Combinations of CNNs and Long Short-Term Memory (LSTM) were used in 13% of studies. Generative Adversarial Networks (GAN) and Autoencoder (AEs) were used in 5% and 4% of papers respectively. Restricted Boltzmann Machine (RBMs), Deep Belief Networks (DBNs), and other hybrid architectures appeared in 1% of studies.Conclusion: This systematic review showed that DL is a powerful tool to process, analyze, and interpret EEG data without requiring extraction steps. These intelligent models can allow self-learning from the training data. On the other hand, DL models need a lot of data to learn, while suffering from a lack of confidence due to their black-box nature. Hence, studies on transfer learning and Explainable Artificial Intelligence (XAI) could help in solving such issues. Big Data, Cloud Computing, the Internet of Things (IoT), and closed-loop technology can also help DL-based systems in achieving fast, and accurate processing of EEG recordings.","Amrani, Ghita and Adadi, Amina and Berrada, Mohammed and Souirti, Zouhayr and Boujraf, Saïd",,10.1109/ICDS53782.2021.9626707,2021,8
article,The Rising Trends of Smart E-Commerce Logistics,"Smart Logistics (SL) offers a competitive advantage for e-commerce by utilizing Information and Communication Technologies (ICT) such as IoT, AI, Blockchain, Cloud computing, 5G, etc. This technology automates, optimizes, and enables real-time tracking and monitoring of shipments, predicts, and prevents delays, and optimizes delivery routes and schedules. It also provides greater visibility and control, allowing e-commerce businesses to react quickly and efficiently to changes in demand or supply. The purpose of this study is to investigate the impact of digitalization on trade logistics in e-commerce, emphasizing the significance of smart logistics for the e-commerce industry. We reviewed 288 articles published in the last decade in the Scopus database to assess the maturity of research in this area. For researchers, this study provides a better understanding of smart e-commerce logistics and identifies research gaps in the literature. For e-commerce professionals, it can help them adopt the latest technological trends in their logistics. Through a systematic literature review and network analysis approach, the study has contributed by identifying 5 clusters related to ICT application fields in e-commerce and 5 clusters related to important ICT enablers in smart logistics. We also identified several research gaps and areas for future study, including the underutilization of computer vision technology and the need for further research on product quality inspection and accessibility for people with disabilities. Additionally, we suggest exploring the power of deep learning to solve Vehicle Routing Problems (VRP) and optimizing sensing data volume for minimizing costs associated with data storage and transfer. This study provides a comprehensive overview of the state of the art in smart logistics for e-commerce and serves as a guide for future research in this field.","Kalkha, Hicham and Khiat, Azeddine and Bahnasse, Ayoub and Ouajji, Hassan",,10.1109/ACCESS.2023.3252566,2023,19
article,Empirical Evidence of the Usage of Programming Languages in the Educational Process,"Contribution: A systematic literature review on the empirical evidence regarding the usage of programming languages for learning purposes is presented. The review analyzes different methods and tools at different educational levels and with different objectives. Background: Learning programming has gained relevance in the last decade. This is due to the massive presence of programmable elements ranging from computers to toys. Because of this, the interest of researchers on this topic has increased. Questions, such as what to use, in what educational stages to use it, the effectiveness of the method, and the focal objectives for learning programming are questions that do not have obvious answers. Research Questions: 1) What empirical evidence exists on the use of educational programming languages (EPLs)? 2) In what context is the research performed? 3) How is effectiveness reported in the literature after applying EPLs? 4) What pedagogical goals are achieved by using EPLs? Methodology: Following a formal protocol, automated searches were performed for primary studies from 2007 to 2018. A total of 62 studies were identified, of which 29 were selected and analyzed since they include some type of empirical evidence. Findings: After performing the evaluation, the results support the need for better approaches with empirical evidence when reporting research on the usage of EPLs. Some research opportunities are identified which concerns the used programming languages, the areas or stages of their application, or the need to have more empirical evidence in general and more studies in non-WEIRD (Western, educated, industrialized, rich, and democratic) contexts.","Vinueza-Morales, Mariuxi and Borrego, Diana and A. Galindo, José and Benavides, David",,10.1109/TE.2020.3030588,2021,10
inproceedings,Understanding Business Analytics: Characteristics and Archetypes,"The successful use of Business Analytics is increasingly becoming a differentiating competitive factor. The ability to extract data-driven insights and integrate them into decision-making is becoming growingly important. The underlying technologies are evolving exponentially, the value proposition differs from simple descriptive applications to automated decision-making. Existing approaches found in literature and practice to classify those levels only insufficiently mark down the boundaries between the different technology levels. As a consequence, it is often unclear which characteristics of the technology interact with the working environment, which can be described as a socio-technical system. Using a systematic literature review, this paper identifies the characteristics of Business Analytics and delineates three types of Business Analytics based on case studies. Thus, a starting point for the socio-technical system design and optimization for the use of Business Analytics is created.","Müller, Jonas and Schuh, Günther and Nahr, Brian and Hoeborn, Gerrit and Stich, Volker",,10.1109/ICTMOD55867.2022.10041874,2022,7
article,Deep learning applications in manufacturing operations: a review of trends and ways forward,"Purpose Deep learning (DL) technologies assist manufacturers to manage their business operations. This research aims to present state-of-the-art insights on the trends and ways forward for DL applications in manufacturing operations. Design/methodology/approach Using bibliometric analysis and the SPAR-4-SLR protocol, this research conducts a systematic literature review to present a scientific mapping of top-tier research on DL applications in manufacturing operations. Findings This research discovers and delivers key insights on six knowledge clusters pertaining to DL applications in manufacturing operations: automated system modelling, intelligent fault diagnosis, forecasting, sustainable manufacturing, environmental management, and intelligent scheduling. Research limitations/implications This research establishes the important roles of DL in manufacturing operations. However, these insights were derived from top-tier journals only. Therefore, this research does not discount the possibility of the availability of additional insights in alternative outlets, such as conference proceedings, where teasers into emerging and developing concepts may be published. Originality/value This research contributes seminal insights into DL applications in manufacturing operations. In this regard, this research is valuable to readers (academic scholars and industry practitioners) interested to gain an understanding of the important roles of DL in manufacturing operations as well as the future of its applications for Industry 4.0, such as Maintenance 4.0, Quality 4.0, Logistics 4.0, Manufacturing 4.0, Sustainability 4.0, and Supply Chain 4.0.","Sahoo, Saumyaranjan and Kumar, Satish and Abedin, Mohammad Zoynul and Lim, Weng Marc and Jakhar, Suresh Kumar",Deep learning; Industry 4; 0; Manufacturing; Operations; Maintenance; Quality; Logistics; Sustainability; Supply chain,10.1108/JEIM-01-2022-0025,2023,31
article,Critical Review of Technology-Enhanced Learning using Automatic Content Analysis Case Study of TEL Maturity Assessment Formulation,"Technology learning (TEL) continues to grow gradually while considering a multitude of factors, which underpins the need to develop a TEL maturity assessment as a guideline for this gradual improvement. This study investigates the potential application of TEL's expert knowledge presented in various research articles as qualitative data for developing assessment questionnaires. A mixed-method approach is applied to analyze the qualitative data using systematic literature review (SLR) with automated content analysis (ACA) as quantitative data processing to strengthen the trustworthiness of the findings and reduce researcher bias. This process is carried out six steps: conducting SLR, data processing with ACA using Leximancer, organizing resulting concepts with facet analysis, contextualizing each TEL facet, constructing the assessment questionnaire for each context, and establishing TEL maturity dimensions. This study generates 64 questionnaire statements grouped according to the target respondents, namely students, teachers, or institutions. This set of questions is also grouped into dimensions representing aligned context: student performance, learning process, applied technology, contents, accessibility, teachers and teachings, strategy and regulation. Further research is required to distribute this questionnaire for pilot respondents to design the improvement roadmap and check data patterns to formulate maturity appraisals and scoring methods.","Rahmah, Amalia and Santoso, Harry B. and Hasibuan, Zainal A.",Automatic content analysis; ACA; assessment questionnaire; concept; facet analysis; key terms; Leximancer; systematic literature review; SLR; technology-enhanced learning; TEL; text analysis; theme,No data,2022,10
